#Section 1
0		o	0	
1		yek	ye	1
2		do	doo	too	2
3		se	se'	3	
4		chahar	char	cha	for	4
@		at	@
30		si	si'	30
ok		ok	okey	#start
cd		si'di	cd	#start
copy		kopy	copy	#start
address		aadres	address	#start
power		paawer	power	#start
bye		baay	bye	#wholeword
computer		kaampiyoter	computer	#start
idea		ideh	idea	#start
project		projeh	project	#start
site		sayt	site	#start
free		aazaad	firi	free	#start
email		imeil	email	#start
mail		meil	imeil	mail	#start
technical		teknikal	fanni	technical	#start
page		safhe	peyj	page	#start
ip		aay'pi	ip	#start
type		taayp	type	#start
change		cheng	taqyeer	change	#start
check		chek	check	#start
star		estaar	setareh	star	#start
dialup		dayal'aap	dialup	#start
research		tahqiq	reserch	research	#start
tv		telvizion	ti'vi	tv	#start
good		good	khoob	#start
persian		pershyan	farsi	persian	#start
tool		tool	abzar	#start
toefl		taafel	toefl	#start
memory		memory	hafeze	#start
RAM		RAM	hafeze	#start
CPU		si'pi'yoo	CPU	#start
title		taaytel	onvan	title	#start
contact		kaantakt	contact	#start
dg		dige	dg	#wholeword
january		jaanvye	january	#wholeword
february		fevrye	february	#wholeword
march		maars	march	#wholeword
april		aavril	april	#wholeword
may		meh	may	#wholeword
june		jooan	june	#wholeword
july		joolay	july	#wholeword
august		aagost	august	#wholeword
september	septaambr	september	#wholeword
october		oktobr	october	#wholeword
november		novaambr	november	#wholeword
december		desaambr	december	#wholeword
sms	es'em'es	payamak	sms	#start
ADSL	ey'di'es'el	ADSL	#start
facebook	feysbook	facebook	#start
music	moozik	music	#start
weblog	weblag	weblog	#start
download	danlod	download	#start
online	aanlayn	online	#start
bug	baag	bug	#wholeword
ine	ine	ayne	ayn	#end
ile	ile	ayle	ayl	#end
plz	lotfan	pleez	plz	#wholeword
save	seyv	save	#start
jensi	جنسی	#exact
jigaret	جیگرت	#exact
jodaee	جدایی	جدائی	#exact
join	جوین	وصل	join	#exact
jok	جوک	#exact
joke	جک	#exact
joker	جوکر	#exact
joloye	جلوی	#exact
jom'ast	جمعست	#exact
jom'e	جمعه	#exact
jomalate	جملات	#exact
jome	جمعه	#exact
jomlato	جملتو	#exact
jomle	جمله	#exact
jomleh	جمله	#exact
jomlehayi	جمله‌هایی	#exact
jomleyee	جمله‌ای	#exact
joon	جون	#exact
joonam	جونم	#exact
jooni	جونی	#exact
joor	جور	#exact
jooraie	جورای	جورائی	#exact
jooreshe	جورشه	جورش	#exact
joori	جوری	#exact
jor	جور	#exact
jore	جور	#exact
jori	جوری	#exact
jorme	جرم	جرمه	#exact
jory	جوری	#exact
joz	جز	#exact
jozeiatesh	جزئیاتش	#exact
jozeishe	جزئیشه	جزئیش	#exact
jozve	جزو	جزوه	#exact
jul	جول	جولای	jul	#exact
july	جولای	جولی	july	#exact
june	جون	#exact
just	جاست	فقط	just	#exact
kaamelan	کاملا	#exact
kaaraaye	کارایه	کارای	#exact
kabk	کبک	#exact
kabkan	کبکن	کبکان	#exact
kac	کسی	کک	#exact
kadeh	کده	#exact
kajravi	کجروی	#exact
kalamate	کلمات	#exact
kalameye	کلمه‌ی	کلمه	#exact
kale	کله	کل	#exact
kam	کم	کام	#exact
kamar	کمر	#exact
kame	کمه	کام	#exact
kamel	کامل	#exact
kamelan	کاملا	#exact
kami	کمی	#exact
kamran	کامران	#exact
kamtar	کمتر	#exact
kandast	کندست	#exact
kande	کنده	#exact
kar	کار	#exact
kara	کارا	#exact
karadam	کردم	#exact
karam	کارم	#exact
karamo	کارامو	کارمو	#exact
karas	کارس	#exact
karaye	کارای	#exact
kard	کرد	#exact
kardam	کردم	#exact
kardan	کردن	#exact
kardanam	کردنم	#exact
kardane	کردن	#exact
kardd	کرد	#exact
karde	کرده	#exact
kardeh	کرده	#exact
kardi	کردی	#exact
kardid	کردید	#exact
kardim	کردیم	#exact
kardin	کردین	#exact
kardio	کردیو	#exact
kardy	کردی	#exact
kare	کار	کر	کره	#exact
karemoono	کارامونو	#exact
karesh	کارش	#exact
karet	کارت	#exact
kargardan	کارگردان	#exact
karha	کارها	#exact
karhai	کارهایی	کارهای	#exact
karhash	کارهاش	#exact
kari	کاری	#exact
kario	کاریو	#exact
karish	کاریش	#exact
karmande	کارمند	#exact
karo	کار	کر	#exact
kartaye	کارتای	#exact
karte	کارت	#exact
kary	کاری	#exact
kas	کس	#exact
kasani	کسانی	#exact
kash	کاش	#exact
kashef	کاشف	#exact
kashi	کاشی	#exact
kashki	کاشکی	#exact
kasi	کسی	#exact
kasio	کسیو	#exact
kassiye	کسیه	کسی	#exact
kastan	کاستن	#exact
katalogue	کاتالوگ	#exact
kavi	کاوی	#exact
kavir	کویر	#exact
kazaai	کذایی	#exact
kazaay	کزای	#exact
ke	که	#exact
keh	که	#exact
keie	که‌ی	کیه	#exact
keifiate	کیفیت	#exact
keiko	کیکو	#exact
kelas	کلاس	#exact
kelasi	کلاسی	#exact
kenar	کنار	#exact
kenaram	کنارم	#exact
kenare	کنار	#exact
kenaremoon	کنارمون	#exact
keraye	کرایه	#exact
kerkerehaye	کرکرهای	#exact
keshidan	کشیدن	#exact
keshidanesh	کشیدنش	#exact
keshidid	کشیدید	#exact
keshidin	کشیدین	#exact
keshido	کشیدو	#exact
keshvar	کشور	#exact
keshvarhaii	کشورهایی	#exact
keshwar	کشور	#exact
kesi	کسی	#exact
ketaab	کتاب	#exact
ketab	کتاب	#exact
ketabaro	کتابارو	کتابرو	#exact
ketabe	کتاب	#exact
ketabkhooneo	کتابخونه‌و	#exact
key	کی	#exact
keyf	کیف	#exact
keyfiate	کیفیت	#exact
keyvan	کیوان	#exact
khaabi	خوابی	#exact
khaahad	خواهد	#exact
khaaham	خواهم	#exact
khaalam	خالم	#exact
khaalie	خالیه	خالی	#exact
khaalit	خالیت	#exact
khaanade	خنده	#exact
khaanande	خواننده	#exact
khaanvaadame	خانوادم	خانوادمه	#exact
khaareji	خارجی	#exact
khab	خواب	#exact
khabar	خبر	#exact
khabara	خبرا	#exact
khabare	خبر	خبره	#exact
khabargozari	خبرگزاری	#exact
khabari	خبری	#exact
khabe	خواب	خوابه	#exact
khabet	خوابت	#exact
khabeto	خوابتو	#exact
khabgahemoon	خوابگاهمون	#exact
khabidam	خوابیدم	#exact
khafan	خفن	#exact
khafe	خفه	#exact
khahad	خواهد	#exact
khaham	خواهم	#exact
khaharash	خواهرش	#exact
khahare	خواهر	#exact
khaharha	خواهرها	#exact
khahesh	خواهش	#exact
khaili	خیلی	#exact
khak	خاک	#exact
khaki	خاکی	#exact
khalas	خلاص	#exact
khale	خاله	#exact
khaleo	خاله‌و	#exact
khali	خالی	#exact
khalie	خالیه	#exact
khaliye	خالیه	خالی	#exact
khallaghiyyate	خلاقیت	#exact
khalvat	خلوت	#exact
khamush	خاموش	#exact
khan	خان	#exact
khanandeh	خواننده	#exact
khanandehaa	خواننده‌ها	#exact
khanandehi	خواننده‌ای	#exact
khanandeye	خواننده‌ی	خواننده	#exact
khande	خنده	خوانده	#exact
khandeye	خنده‌ی	خنده	#exact
khandidam	خندیدم	#exact
khane	خانه	#exact
khanomi	خانومی	خانمی	#exact
khanoom	خانوم	#exact
khanoome	خانوم	خانومه	#exact
khar	خر	#exact
kharab	خراب	#exact
kharabe	خرابه	خراب	#exact
kharabetam	خرابتم	#exact
kharabkari	خراب‌کاری	#exact
kharabtar	خرابتر	#exact
khareji	خارجی	#exact
khari	خری	خاری	#exact
kharid	خرید	#exact
kharidam	خریدم	#exact
kharide	خرید	خریده	#exact
kharidim	خریدیم	#exact
khashme	خشم	#exact
khast	خواست	#exact
khastand	خواستند	#exact
khastash	خواستش	#exact
khaste	خسته	#exact
khastegari	خواستگاری	#exact
khasteh	خسته	#exact
khat	خط	#exact
khate	خط	خطه	#exact
khatere	خاطر	خاطره	#exact
khatoon	خاتون	#exact
khedmat	خدمت	#exact
kheeili	خیلی	#exact
kheili	خیلی	#exact
kheilii	خیلی	#exact
kheli	خیلی	#exact
khertto	خرتو	#exact
kheyli	خیلی	#exact
kheylia	خیلیا	خیلی‌ها	#exact
khiaboon	خیابون	#exact
khiaboone	خیابون	#exact
khialati	خیالاتی	#exact
khiale	خیال	خیاله	#exact
khire	خیره	#exact
khiyabone	خیابون	#exact
khob	خوب	#exact
khobe	خوبه	#exact
khobeh	خوبه	#exact
khobi	خوبی	#exact
khobie	خوبیه	خوبی	#exact
khod	خود	#exact
khoda	خدا	#exact
khodafez	خدافظ	#exact
khodafezi	خدافظی	خداحافظی	#exact
khodai	خدایی	خدای	#exact
khodam	خودم	#exact
khodame	خودمه	#exact
khodamo	خودمو	#exact
khodaya	خدایا	#exact
khodaye	خدای	خدایی	#exact
khode	خود	خوده	#exact
khodemoon	خودمون	#exact
khodemoono	خودمونو	#exact
khodesh	خودش	#exact
khodesham	خودشم	#exact
khodesho	خودشو	#exact
khodeshon	خودشون	#exact
khodeshoon	خودشون	#exact
khodeshun	خودشون	#exact
khodet	خودت	#exact
khodete	خودت	خودته	#exact
khodeti	خودتی	#exact
khodeto	خودتو	#exact
khodetonro	خدتونرو	#exact
khodetoon	خودتون	#exact
khodkaramo	خودکارمو	#exact
khodshono	خودشنو	#exact
kholaaase	خلاصه	#exact
kholase	خلاصه	#exact
khonak	خنک	#exact
khond	خوند	#exact
khondam	خوندم	#exact
khondi	خوندی	#exact
khone	خونه	#exact
khoneye	خونه‌ی	خونه	#exact
khoneyee	خونه‌ی	#exact
khoob	خوب	#exact
khoob	خوب	#exact
khoobam	خوبم	#exact
khoobe	خوبه	خوب	#exact
khoobeh	خوبه	#exact
khoobemoon	خوبمون	#exact
khoobi	خوبی	#exact
khoobia	خوبیا	#exact
khoobie	خوبیه	خوبی	#exact
khoobiye	خوبیه	خوبی	#exact
khoobo	خوبو	#exact
khoonam	خونم	#exact
khoonashoono	خونشونو	#exact
khoonato	خونتو	#exact
khoond	خوند	#exact
khoondam	خوندم	#exact
khoondan	خوندن	#exact
khoondan	خوندن	#exact
khoondan	خوندن	#exact
khoondane	خوندن	#exact
khoondanesh	خوندنش	#exact
khoone	خونه	خون	#exact
khooneh	خونه	#exact
khoonehamoon	خونه‌هامون	#exact
khooneye	خونه‌ی	#exact
khoono	خونو	#exact
khoord	خورد	#exact
khoosh	خوش	#exact
khord	خورد	#exact
khordam	خوردم	#exact
khordamo	خوردمو	#exact
khordan	خوردن	#exact
khorde	خورده	#exact
khordim	خوردیم	#exact
khosh	خوش	#exact
khoshalin	خشالین	خشحالین	#exact
khosham	خوشم	#exact
khoshbakhtane	خوشبختانه	#exact
khoshbakhti	خوشبختی	#exact
khoshe2n	خشتون	#exact
khoshet	خوشت	#exact
khoshetoon	خوشتون	#exact
khoshgel	خوشگل	#exact
khoshgelam	خوشگلم	#exact
khoshgele	خشگله	خوشگل	#exact
khoshgele	خشگله	#exact
khoshgeleh	خوشگله	#exact
khoshgelo	خوشگلو	#exact
khoshhaal	خوشحال	خوشال	#exact
khoshhal	خوشحال	#exact
khoshhalam	خوشحالم	#exact
khoshhali	خوشحالی	#exact
khoshk	خشک	#exact
khoshkel	خوشکل	#exact
khoshmaze	خوشمزه	#exact
khoshtip	خوش‌تیپ	خوشتیپ	#exact
khosoos	خصوص	#exact
khoubi	خوبی	#exact
khoundane	خوندن	#exact
khounde	خونده	#exact
khub	خوب	#exact
khubam	خوبم	#exact
khube	خوبه	#exact
khubi	خوبی	#exact
khundam	خوندم	#exact
khunde	خونده	خوانده	#exact
khune	خونه	#exact
khyly	خیلی	#exact
ki	کی	#exact
kie	کیه	#exact
kilometeri	کیلومتری	#exact
king	کینگ	شاه	king	#exact
kise	کیسه	#exact
kiss	کیس	بوس	بوسه	kiss	#exact
kiye	کیه	#exact
kkhali	خالی	#exact
klik	کلیک	click	#exact
kocholomo	کوچولومو	#exact
kocholoo	کوچولو	#exact
kodam	کدام	#exact
kodametan	کدامتان	#exact
kodom	کدوم	#exact
kodomeshon	کدومشون	#exact
kodoom	کدوم	#exact
kodum	کدوم	#exact
kofr	کفر	#exact
koja	کجا	#exact
kojaa	کجا	#exact
kojae	کجای	#exact
kojaha	کجاها	#exact
kojast	کجاست	#exact
kol	کل	#exact
kolan	کلاٌ	#exact
kole	کل	#exact
koli	کلی	#exact
kolish	کلیش	#exact
kolita	کلیتا	#exact
kollan	کلا	#exact
kolli	کلی	#exact
komak	کمک	#exact
komakam	کمکم	#exact
kon	کن	#exact
konam	کنم	#exact
konan	کنن	#exact
konand	کنند	#exact
konande	کننده	کنند	#exact
kone	کنه	#exact
koni	کنی	#exact
konid	کنید	#exact
konied	کنید	#exact
konim	کنیم	کنیم	#exact
konim	کنیم	#exact
konin	کنین	#exact
konj	کنج	#exact
konkoor	کنکور	#exact
konkoor	کنکور	#exact
konkor	کنکور	#exact
konkour	کنکور	#exact
konm	کنم	#exact
koo	کو	#exact
koochik	کوچیک	#exact
koochiko	کوچیک‌و	#exact
koochooloote	کوچولوته	کوچولوت	#exact
koochuloo	کوچولو	#exact
koodoom	کودوم	کدوم	#exact
koodoomo	کودومو	کدومو	#exact
koohe	کوه	#exact
kooli	کولی	کلی	#exact
koor	کور	#exact
koose	کوسه	#exact
kosht	کشت	#exact
koshtar	کشتار	#exact
kotah	کوتاه	#exact
kou	کو	#exact
kuchuluhe	کوچولوه	کوچولوهه	#exact
labkhand	لبخند	#exact
labkhande	لبخند	#exact
labriz	لبریز	#exact
lahze	لحظه	#exact
lak	لاک	لک	#exact
lake	لکه	لک	#exact
land	لند	#exact
laptope	لپ‌تاپ	لپ‌تاپه	#exact
larze	لرزه	لرز	#exact
larzid	لرزید	#exact
last	لاست	لست	قبلی	last	#exact
lat	لات	#exact
latin	لاتین	latin	#exact
lavazeme	لوازم	لوازمه	#exact
layegh	لایق	#exact
lazem	لازم	#exact
left	لفت	#exact
lezat	لذت	#exact
lg	ال.جی	LG	#exact
life	لایف	زندگی	life	#exact
like	لایک	like	#exact
line	لاین	خط	line	#exact
link	لینک	مرتبط	link	#exact
lirycs	لیریکس	#exact
listamo	لیستمو	#exact
liste	لیست	#exact
live	لایو	زنده	live	#exact
lo	لو	#exact
local	لوکال	محلی	local	#exact
location	لوکیشن	#exact
log	لاگ	log	#exact
login	لاگین	ورود	login	#exact
lol	لول	#exact
looti	لوطی	#exact
lord	لرد	#exact
lotf	لطف	#exact
love	لاو	عشق	love	#exact
lyrice	لیریکه	لیریک	lyric	#exact
ma	ما	#exact
ma'soom	معصوم	#exact
maa	ما	#exact
maah	ماه	#exact
maam	مام	#exact
maast	ماست	مست	#exact
mabi	مآبی	#exact
mach	ماچ	مچ	تطبیق	mach	#exact
mache	ماچ	مچ	#exact
mad	مد	ماد	#exact
madar	مادر	مدار	#exact
madararo	مادرارو	#exact
madarim	مادریم	مدارییم	#exact
madi	مادی	#exact
madrese	مدرسه	#exact
madreseh	مدرسه	#exact
maee	مایی	#exact
magazine	مگزینه	#exact
mage	مگه	#exact
maghz	مغز	#exact
maghzesh	مغزش	#exact
maghzeto	مغزتو	#exact
magooli	مگولی	#exact
mah	ماه	#exact
maha	ماها	#exact
mahal	محل	محال	#exact
mahale	محله	محل	#exact
mahaletono	محلتونو	#exact
maham	ماهم	ماهام	#exact
maharathaie	مهارت‌های	مهارت‌هایی	#exact
mahe	ماه	مه	#exact
mahi	ماهی	#exact
mahsoob	محسوب	#exact
mahv	محو	#exact
mahya	مهیا	#exact
mail	میل	پست	mail	#exact
maileto	میلتو	#exact
majale	مجله	#exact
majaleye	مجله‌ی	مجله	#exact
majara	ماجرا	#exact
majboor	مجبور	#exact
majid	مجید	#exact
maketo	ماکتو	#exact
makhsoos	مخصوص	#exact
makhsoosan	مخصوصا	#exact
makhsus	مخصوص	#exact
male	مال	#exact
mali	مالی	#exact
malih	ملیح	#exact
maloom	معلوم	ملوم	#exact
mamalie	مملیه	مملی	#exact
maman	مامان	#exact
mamanam	مامانم	#exact
mamanesh	مامانش	#exact
mamlekati	مملکتی	#exact
mamnon	ممنون	#exact
mamnonam	ممنونم	#exact
mamnonet	ممنونت	#exact
mamnoon	ممنون	#exact
mamnoonam	ممنونم	#exact
mamoolan	معمولا	#exact
mamoolim	معمولیم	ممولیم	#exact
man	من	مان	#exact
manaast	معناست	#exact
manabe	منابع	#exact
manage	منیج	مدیریت	manage	#exact
manager	منیجر	مدیر	manager	#exact
manam	منم	#exact
manavi	معنوی	#exact
manba	منبع	#exact
manbae	منبع	#exact
mane	منه	من	#exact
manhatan	منهتن	#exact
mani	منی	مانی	#exact
manie	معنیه	مانی	#exact
manisho	معنیشو	#exact
mano	منو	#exact
mano	منو	#exact
mansoob	منصوب	منسوب	#exact
mansuro	منصورو	#exact
manzooret	منظورت	#exact
manzor	منظور	#exact
manzuram	منظورم	#exact
manzureto	منظورتو	#exact
mar30	مرسی	مر30	#exact
marame	مرامه	مرام	#exact
marasem	مراسم	#exact
marboot	مربوط	#exact
march	مارچ	مارث	march	#exact
marde	مرد	#exact
mardeshab	مردشب	#exact
mardom	مردم	#exact
mardonegi	مردونگی	#exact
marekeh	معرکه	مرکه	#exact
marg	مرگ	#exact
margam	مرگم	#exact
marhumesh	مرهومش	#exact
maroof	معروف	#exact
marz	مرز	#exact
masalan	مثلا	#exact
masale	مسئله	مساله	#exact
masayel	مسایل	مسائل	#exact
mash	مش	ماش	#exact
mashghe	مشق	#exact
mashghoole	مشغول	مشغوله	#exact
mashhad	مشهد	#exact
mashin	ماشین	#exact
mashinam	ماشینم	#exact
mashine	ماشین	ماشینه	#exact
mashooghe	معشوقه	معشوق	#exact
masih	مسیح	#exact
maskhare	مسخره	#exact
mast	ماست	#exact
mast	مست	#exact
matalebe2no	مطلبتونو	#exact
matlab	مطلب	#exact
matne	متن	#exact
matrah	مطرح	#exact
max	مکث	#exact
maye	مایه	#exact
mayehaye	می‌های	مایه‌های	#exact
mazast	مزست	#exact
maze	مزه	#exact
mazerat	معذرت	#exact
me	می	من	me	#exact
meeting	میتینگ	ملاقات	meeting	#exact
meeting-e	میتینگ	میتینگه	#exact
mehdi	مهدی	#exact
mehr	مهر	#exact
mehrabooni	مهربونی	#exact
mehraboono	مهربونو	#exact
mehran	مهران	#exact
melat	ملت	#exact
melate	ملت	#exact
memare	معماره	معمار	#exact
mentally	منتالی	ذهنی	mentally	#exact
menu	منو	فهرست	Meno	#exact
menuye	منوی	#exact
mer30	مرسی	#exact
merc	مرسی	#exact
merci	مرسی	#exact
mersi	مرسی	#exact
mesalam	مثالم	#exact
mesalan	مثلا	#exact
mese	مثل	مس	#exact
mesengere	مسنجر	پیغام‌آور	messenger	#exact
mesl	مثل	#exact
mesle	مثل	#exact
mesleh	مثل	مثله	#exact
message	مسیج	پیغام	message	#exact
metal	متال	#exact
metro	مترو	#exact
meyam	میام	#exact
mi2nin	می‌تونین	#exact
miaan	میان	#exact
miad	میاد	#exact
miai	میای	#exact
miain	میاین	#exact
miam	میام	#exact
mian	میان	#exact
miaram	میارم	#exact
miaran	میارن	#exact
miare	میاره	#exact
miarzeh	می‌ارزه	میرزه	#exact
miay	میای	#exact
mibande	می‌بنده	میبنده	#exact
mibaram	می‌برم	میبرم	می‌بارم	میبارم	#exact
mibashad	می‌باشد	میباشد	#exact
mibinam	می‌بینم	میبینم	#exact
mibinamesh	می‌بینمش	میبینمش	#exact
mibinanad	می‌بینند	#exact
mibine	میبینه	#exact
mibini	می‌بینی	میبینی	#exact
mibood	می‌بود	میبود	#exact
mibordam	می‌بردم	میبردم	#exact
mibudi	می‌بودی	میبودی	#exact
mic	میسی	#exact
microphone	میکروفن	#exact
mid	مید	#exact
midaadam	میدادم	#exact
midad	می‌داد	میداد	#exact
midam	میدم	#exact
midan	میدن	#exact
midanad	میداند	#exact
midand	میدند	#exact
midashti	میداشتی	#exact
mide	میده	#exact
midi	میدی	#exact
mididam	میدیدم	#exact
mididan	میدیدن	#exact
midim	می‌دیم	میدیم	#exact
midonam	می‌دونم	میدونم	#exact
midonam	می‌دونم	میدونم	#exact
midoni	میدونی	#exact
midoonam	می‌دونم	میدونم	#exact
midoone	می‌دونه	میدونه	#exact
midoonestam	میدونستم	#exact
midooni	میدونی	#exact
midouni	میدونی	#exact
midunam	میدونم	#exact
midunestam	می‌دونستم	میدونستم	#exact
miduni	میدونی	#exact
mifahmam	میفهمم	#exact
mifahme	میفهمه	#exact
mifahmi	می‌فهمی	#exact
mifrestam	میفرستم	#exact
migam	می‌گم	#exact
migan	میگن	#exact
migardam	می‌گردم	میگردم	#exact
migarde	می‌گرده	میگرده	می‌گرد	میگرد	#exact
migardi	می‌گردی	میگردی	#exact
migashtam	می‌گشتم	میگشتم	#exact
mige	میگه	#exact
migeh	می‌گه	میگه	#exact
migereftam	می‌گرفتم	میگرفتم	#exact
migi	میگی	#exact
migim	میگیم	#exact
migin	میگین	#exact
migire	می‌گیره	میگیره	#exact
migirin	میگیرین	#exact
migm	میگم	#exact
migoft	میگفت	#exact
migoftam	می‌گفتم	میگفتم	#exact
migoftan	میگفتن	#exact
migofti	می‌گفتی	میگفتی	#exact
migoftim	می‌گفتیم	میگفتیم	#exact
migoftin	می‌گفتین	#exact
migzaaram	میگذارم	#exact
migzare	میگذره	میگذاره	#exact
migzareh	می‌گذره	میگذره	می‌گذاره	میگذاره	#exact
mikanam	می‌کنم	میکنم	#exact
mikard	می‌کرد	#exact
mikardam	می‌کردم	میکردم	#exact
mikardan	می‌کردن	میکردن	#exact
mikardand	می‌کردند	#exact
mikardim	می‌کردیم	#exact
mikeshan	می‌کشن	میکشن	#exact
mikeshi	می‌کشی	#exact
mikeshid	می‌کشید	میکشید	#exact
mikeshin	میکشین	#exact
mikhad	می‌خواد	میخواد	#exact
mikhai	میخوای	#exact
mikhaie	میخوای	#exact
mikham	می‌خوام	میخوام	#exact
mikhamet	می‌خوامت	میخوامت	#exact
mikhan	میخوان	#exact
mikhanad	می‌خواند	میخواند	#exact
mikhandidam	می‌خندیدم	میخندیدم	#exact
mikhandidim	می‌خندیدیم	میخندیدیم	#exact
mikharam	میخرم	#exact
mikhast	میخواست	#exact
mikhastam	می‌خواستم	میخواستم	#exact
mikhaste	می‌خواسته	#exact
mikhasti	میخواستی	#exact
mikhay	می‌خوای	میخوای	#exact
mikhaym	می‌خوایم	میخوایم	#exact
mikhayn	می‌خواین	#exact
mikhonand	میخونند	#exact
mikhondam	میخوندم	#exact
mikhoneh	میخونه	#exact
mikhorim	می‌خوریم	میخوریم	#exact
mikhoure	می‌خوره	#exact
mikhunam	میخونم	#exact
mikonam	می‌کنم	میکنم	#exact
mikonam	می‌کنم	میکنم	#exact
mikonamesh	می‌کنمش	میکنمش	#exact
mikonan	می‌کنن	#exact
mikone	می‌کنه	میکنه	#exact
mikoneh	میکنه	#exact
mikoni	می‌کنی	#exact
mikonid	می‌کنید	میکنید	#exact
mikonim	می‌کنیم	میکنیم	#exact
mikoonam	می‌کنم	میکنم	#exact
mikoonam	می‌کونم	میکونم	#exact
milade	میلاد	#exact
milinkamet	میلینکمت	#exact
milliardha	میلیاردها	#exact
mimiram	می‌میرم	میمیرم	#exact
mimiran	میمیرن	#exact
mimune	میمونه	#exact
min	مین	دقیقه	min	minute	#exact
mindazam	میندازم	#exact
minevc	مینوسی	#exact
mineveshtam	می‌نوشتم	مینوشتم	#exact
minevisam	می‌نویسم	مینویسم	#exact
minevisan	مینویسن	#exact
mioftam	میفتم	#exact
miofte	میفته	#exact
mioomad	میومد	#exact
mipardazand	می‌پردازند	میپردازند	#exact
mipardazim	می‌پردازیم	میپردازیم	#exact
mipichidam	میپیچیدم	می‌پیچیدم	#exact
mipoosad	میپوسد	#exact
miporsam	می‌پرسم	میپرسم	#exact
miporse	می‌پرسه	میپرسه	#exact
miraftam	میرفتم	می‌رفتم	#exact
miraftim	می‌رفتیم	میرفتیم	#exact
miraghse	میرقصه	#exact
miraghsidan	می‌رقصیدن	میرقصیدن	#exact
miram	میرم	#exact
miran	می‌رن	میرن	#exact
miravad	می‌رود	میرود	#exact
mirdamad	میرداماد	#exact
mire	میره	#exact
mirese	میرسه	#exact
miresi	می‌رسی	میرسی	#exact
miresid	میرسید	#exact
miri	میری	#exact
mirim	میریم	می‌ریم	#exact
mirin	میرین	#exact
misazan	می‌سازن	میسازن	#exact
misham	میشم	#exact
mishan	میشن	#exact
mishe	می‌شه	#exact
misheh	میشه	#exact
mishenavam	می‌شنوم	میشنوم	#exact
mishenidam	می‌شنیدم	میشنیدم	#exact
mishi	میشی	#exact
mishinam	می‌شینم	میشینم	#exact
mishnakhtamesh	میشناختمش	#exact
mishnakhtand	میشناختند	#exact
mishnavam	می‌شنوم	میشنوم	#exact
mishnavan	میشنون	#exact
mishnidish	میشنیدیش	#exact
mishod	میشد	#exact
mishodam	میشدم	#exact
miss	میس	#exact
mitarsan	می‌ترسن	میترسن	#exact
mitarse	می‌ترسه	میترسه	#exact
mitarsi	می‌ترسی	میترسی	#exact
mitavanad	میتواند	می‌تواند	#exact
miterekoonam	میترکونم	#exact
mitonam	می‌تونم	میتونم	#exact
mitonied	میتونید	#exact
mitoonam	می‌تونم	میتونم	#exact
mitoonan	می‌تونن	میتونن	#exact
mitoonand	میتونند	#exact
mitoone	میتونه	#exact
mitoonestam	می‌تونستم	میتونستم	#exact
mitooni	میتونی	#exact
mitoonim	می‌تونیم	میتونیم	#exact
mitoonin	می‌تونین	میتونین	#exact
mitune	میتونه	#exact
mitunim	می‌تونیم	میتونیم	#exact
mix	میکس	#exact
miyad	میاد	#exact
miyam	میام	#exact
miyoomad	میومد	#exact
mizad	میزد	#exact
mizadam	میزدم	#exact
mizam	میزم	#exact
mizanam	میزنم	#exact
mizanan	می‌زنن	میزنن	#exact
mizanand	می‌زنند	میزنند	#exact
mizane	میزان	می‌زنه	#exact
mizani	میزنی	میزانی	#exact
mizanim	می‌زنیم	میزنیم	#exact
mizanin	میزنین	#exact
mizaram	میزارم	#exact
mizari	میذاری	#exact
mizarin	میذارین	میزارین	#exact
mize	میز	#exact
mo'adabane	موادبانه	#exact
moazabam	معذبم	#exact
mobarak	مبارک	#exact
mobaraketo0n	مبارکتون	#exact
mobile	موبایل	#exact
mochakeram	مچکرم	#exact
modat	مدت	#exact
modati	مدتی	#exact
modatie	مدتیه	#exact
model	مدل	#exact
modele	مدل	#exact
moft	مفت	#exact
moghabele	مقابله	مقابل	#exact
moghe	موقع	#exact
mohabbataye	محبتای	#exact
mohamad	محمد	#exact
mohammad	محمد	#exact
mohandesi	مهندسی	#exact
mohasebato	محاسباتو	#exact
mohem	مهم	#exact
mohemat	مهمات	#exact
moheme	مهمه	مهم	#exact
mohemi	مهمی	#exact
mohemmat	مهمات	#exact
mohemtarin	مهمترین	#exact
mohkam	محکم	#exact
mohsen	محسن	#exact
moji	موجی	#exact
mojrian	مجریان	#exact
mojtaba	مجتبی	#exact
mokhalefam	مخالفم	#exact
mokhalefeshunam	مخالفشونم	#exact
mokhlesam	مخلصم	#exact
mokhlese	مخلص	#exact
mokhtalef	مختلف	#exact
mola	مولا	#exact
momken	ممکن	#exact
momkene	ممکن	ممکنه	#exact
mongol	منگل	#exact
monhaser	منحصر	#exact
montazer	منتظر	#exact
montazeram	منتظرم	#exact
montazere	منتظر	#exact
moon	مون	#exact
moond	موند	#exact
moonde	مونده	#exact
moose	موس	#exact
moozi	موذی	#exact
moqadas	مقدس	#exact
moqaddame	مقدمه	مقدم	#exact
moqava	مقوا	#exact
mor	مور	#exact
morakhas	مرخص	#exact
moratab	مرتب	#exact
morche	مورچه	#exact
mord	مرد	مورد	#exact
mordaad	مرداد	#exact
mordad	مرداد	#exact
mordam	مردم	#exact
morde	مرده	#exact
more	مور	مر	#exact
morede	مورد	#exact
moredo	موردو	#exact
mortazavi	مرتضوی	#exact
mosafer	مسافر	#exact
mosahebasham	مصاحبشم	#exact
